,topic,word,count,prop,score
402,1,brown,5,0.0010427528675703858,0.0
403,1,brown,5,0.0010427528675703858,0.16908
404,1,brown,5,0.0010427528675703858,0.0
405,1,statement,6,0.001251303441084463,0.049460000000000004
407,1,white,8,0.0016684045881126173,0.33907
408,1,white,8,0.0016684045881126173,0.3485
409,1,white,8,0.0016684045881126173,0.0
410,1,confirmed,3,0.0006256517205422315,-0.05574
412,1,money,17,0.003545359749739312,0.0
413,1,happily,1,0.00020855057351407716,0.055760000000000004
414,1,opposite,4,0.0008342022940563086,-0.0572
415,1,opposite,4,0.0008342022940563086,-0.05186
416,1,opposite,4,0.0008342022940563086,-0.00872
417,1,super,2,0.0004171011470281543,0.49317
418,1,super,2,0.0004171011470281543,0.0
419,1,super,2,0.0004171011470281543,0.54419
420,1,hurting,6,0.001251303441084463,-0.42036
421,1,builder,1,0.00020855057351407716,0.0
422,1,site,13,0.002711157455683003,0.0
423,1,site,13,0.002711157455683003,0.0
424,1,random,4,0.0008342022940563086,0.09429
425,1,startled,2,0.0004171011470281543,-0.10096000000000001
426,1,cool,3,0.0006256517205422315,0.47333000000000003
427,1,cool,3,0.0006256517205422315,0.48663999999999996
428,1,cool,3,0.0006256517205422315,0.0
430,1,burke,1,0.00020855057351407716,0.0
431,1,burke,1,0.00020855057351407716,-0.22494
432,1,occasions,7,0.00145985401459854,0.0
433,1,front,24,0.005005213764337852,0.0
434,1,front,24,0.005005213764337852,0.02026
435,1,front,24,0.005005213764337852,-0.02298
436,1,line,9,0.0018769551616266945,-0.06062000000000001
437,1,line,9,0.0018769551616266945,0.0
438,1,follow,10,0.0020855057351407717,-0.0403
439,1,complicated,2,0.0004171011470281543,-0.29086999999999996
440,1,hairstylist,1,0.00020855057351407716,0.0
441,1,dinner,6,0.001251303441084463,0.0
443,1,anonymous,5,0.0010427528675703858,0.23301
444,1,accuse,1,0.00020855057351407716,-0.6281800000000001
445,1,connect,1,0.00020855057351407716,0.0
447,1,code,1,0.00020855057351407716,0.0
448,1,code,1,0.00020855057351407716,0.0
449,1,size,3,0.0006256517205422315,0.13896
450,1,size,3,0.0006256517205422315,0.15325
451,1,size,3,0.0006256517205422315,0.15379
452,1,target,14,0.00291970802919708,0.0
453,1,target,14,0.00291970802919708,0.0
454,1,worry,1,0.00020855057351407716,-0.75478
455,1,worry,1,0.00020855057351407716,-0.7552
458,1,sociopath,1,0.00020855057351407716,0.0
459,1,wrapped,3,0.0006256517205422315,-0.022000000000000002
460,1,round,6,0.001251303441084463,0.21019000000000002
461,1,round,6,0.001251303441084463,0.25340999999999997
462,1,round,6,0.001251303441084463,0.0
463,1,round,6,0.001251303441084463,0.22738000000000003
464,1,finger,3,0.0006256517205422315,0.0
465,1,finger,3,0.0006256517205422315,0.0
466,1,complete,3,0.0006256517205422315,0.3452
467,1,complete,3,0.0006256517205422315,0.41708999999999996
469,1,desperately,2,0.0004171011470281543,-0.05107
473,1,sentence,7,0.00145985401459854,0.0
474,1,sentence,7,0.00145985401459854,0.0
475,1,fully,7,0.00145985401459854,0.15197
477,1,mack,1,0.00020855057351407716,0.0
478,1,laugh,5,0.0010427528675703858,0.65774
479,1,laugh,5,0.0010427528675703858,0.0
480,1,pool,4,0.0008342022940563086,0.43946
481,1,pool,4,0.0008342022940563086,0.0
482,1,upside,2,0.0004171011470281543,0.0
483,1,lick,4,0.0008342022940563086,0.0
484,1,lick,4,0.0008342022940563086,0.39876
485,1,tongue,8,0.0016684045881126173,0.35603
486,1,tongue,8,0.0016684045881126173,0.0
488,1,spank,2,0.0004171011470281543,0.0
489,1,spank,2,0.0004171011470281543,0.0
491,1,throat,8,0.0016684045881126173,0.0
493,1,favorite,9,0.0018769551616266945,0.5615100000000001
494,1,favorite,9,0.0018769551616266945,0.63003
495,1,pretending,5,0.0010427528675703858,-0.07997
496,1,broad,3,0.0006256517205422315,0.0151
497,1,broad,3,0.0006256517205422315,0.0
498,1,daylight,3,0.0006256517205422315,0.0
499,1,beach,2,0.0004171011470281543,0.0
500,1,beach,2,0.0004171011470281543,0.0
503,1,conventional,1,0.00020855057351407716,0.08094
506,1,insistent,2,0.0004171011470281543,-0.035160000000000004
507,1,dallas,2,0.0004171011470281543,0.0
508,1,typical,5,0.0010427528675703858,-0.07484
509,1,wpm,1,0.00020855057351407716,0.0
511,1,biloxi,1,0.00020855057351407716,0.0
512,1,tea,2,0.0004171011470281543,0.0
513,1,ground,6,0.001251303441084463,0.0
514,1,ground,6,0.001251303441084463,0.0
516,1,knee,12,0.002502606882168926,0.0
517,1,red,5,0.0010427528675703858,0.18444000000000002
518,1,red,5,0.0010427528675703858,0.20360999999999999
520,1,professor,1,0.00020855057351407716,0.0
521,1,bank,3,0.0006256517205422315,0.0
522,1,bank,3,0.0006256517205422315,0.27781
523,1,shop,6,0.001251303441084463,0.0
524,1,shop,6,0.001251303441084463,0.20914000000000002
525,1,direction,2,0.0004171011470281543,0.10632
526,1,wreck,2,0.0004171011470281543,-0.87203
527,1,wreck,2,0.0004171011470281543,-0.8462
528,1,chronicle,1,0.00020855057351407716,0.0
529,1,chronicle,1,0.00020855057351407716,0.0
530,1,adulthood,2,0.0004171011470281543,0.0
531,1,rubbing,9,0.0018769551616266945,0.0
535,1,run,23,0.004796663190823775,0.0
536,1,run,23,0.004796663190823775,0.39603
540,1,pair,1,0.00020855057351407716,0.22196999999999997
541,1,pair,1,0.00020855057351407716,0.0
542,1,scissors,1,0.00020855057351407716,0.0
543,1,taste,5,0.0010427528675703858,0.38500999999999996
544,1,taste,5,0.0010427528675703858,0.45588999999999996
545,1,sexy,3,0.0006256517205422315,0.6331399999999999
546,1,serving,3,0.0006256517205422315,0.0
548,1,rolled,1,0.00020855057351407716,0.12657000000000002
549,1,vomit,2,0.0004171011470281543,-0.78564
550,1,vomit,2,0.0004171011470281543,0.0
551,1,grocery,5,0.0010427528675703858,0.0
552,1,store,23,0.004796663190823775,0.0
553,1,store,23,0.004796663190823775,0.0
554,1,smirk,1,0.00020855057351407716,0.11287
555,1,smirk,1,0.00020855057351407716,0.041339999999999995
558,1,grade,10,0.0020855057351407717,0.03673
559,1,grade,10,0.0020855057351407717,0.06467
560,1,weekend,11,0.0022940563086548487,0.0
561,1,weekend,11,0.0022940563086548487,0.0
564,1,pushing,2,0.0004171011470281543,0.0
565,1,grinding,1,0.00020855057351407716,0.0056
566,1,wedding,2,0.0004171011470281543,0.0
567,1,pulling,5,0.0010427528675703858,0.0
568,1,nerve,2,0.0004171011470281543,-0.16488
569,1,nerve,2,0.0004171011470281543,-0.12847
570,1,position,4,0.0008342022940563086,0.13167
571,1,position,4,0.0008342022940563086,0.0
572,1,paper,3,0.0006256517205422315,0.0
573,1,paper,3,0.0006256517205422315,0.0
574,1,visitor,1,0.00020855057351407716,0.0
576,1,impression,4,0.0008342022940563086,0.22791
577,1,walking,25,0.005213764337851929,0.21734
578,1,walking,25,0.005213764337851929,0.0
580,1,teenage,5,0.0010427528675703858,0.2298
581,1,seat,10,0.0020855057351407717,0.0
582,1,seat,10,0.0020855057351407717,0.0
583,1,worker,4,0.0008342022940563086,0.0
584,1,camera,1,0.00020855057351407716,0.0
585,1,zoo,1,0.00020855057351407716,0.0
586,1,accident,6,0.001251303441084463,-0.60055
588,1,excited,6,0.001251303441084463,0.7703800000000001
589,1,pipe,2,0.0004171011470281543,0.0
590,1,pipe,2,0.0004171011470281543,-0.05856
591,1,solution,2,0.0004171011470281543,0.27155
592,1,tame,1,0.00020855057351407716,0.25040999999999997
593,1,tame,1,0.00020855057351407716,0.24983000000000002
594,1,sneak,2,0.0004171011470281543,-0.11834000000000001
595,1,sneak,2,0.0004171011470281543,-0.17956
596,1,sneak,2,0.0004171011470281543,-0.1671
598,1,shut,12,0.002502606882168926,-0.1771
599,1,shut,12,0.002502606882168926,0.0
600,1,vice,1,0.00020855057351407716,-0.33624
601,1,neck,3,0.0006256517205422315,0.0
602,1,neck,3,0.0006256517205422315,0.07332999999999999
604,1,admit,8,0.0016684045881126173,0.15154
606,1,feedback,1,0.00020855057351407716,0.0
610,1,train,5,0.0010427528675703858,0.0
611,1,train,5,0.0010427528675703858,0.3617
612,1,condone,1,0.00020855057351407716,0.0
615,1,laws,4,0.0008342022940563086,0.0
616,1,grope,3,0.0006256517205422315,0.0
617,1,grope,3,0.0006256517205422315,-0.30594
619,1,connected,5,0.0010427528675703858,0.0
620,1,facilitate,1,0.00020855057351407716,-0.05058
622,1,calm,5,0.0010427528675703858,0.49928
623,1,calm,5,0.0010427528675703858,0.52123
624,1,calm,5,0.0010427528675703858,0.50011
629,1,tale,2,0.0004171011470281543,0.26659
631,1,liberal,2,0.0004171011470281543,0.37517
632,1,liberal,2,0.0004171011470281543,0.0
633,1,paramedic,1,0.00020855057351407716,0.0
634,1,mummy,1,0.00020855057351407716,-0.09091
635,1,produce,1,0.00020855057351407716,0.0
636,1,produce,1,0.00020855057351407716,0.0
637,1,twelve,3,0.0006256517205422315,0.0
638,1,twelve,3,0.0006256517205422315,0.0
639,1,packed,2,0.0004171011470281543,-0.0296
640,1,funeral,3,0.0006256517205422315,0.0
641,1,joking,3,0.0006256517205422315,0.44363
642,1,valley,2,0.0004171011470281543,0.0
643,1,stream,1,0.00020855057351407716,0.0
644,1,stream,1,0.00020855057351407716,0.42258
645,1,pizza,2,0.0004171011470281543,0.0
646,1,tuesday,2,0.0004171011470281543,0.0
647,1,afternoon,4,0.0008342022940563086,0.0
648,1,load,1,0.00020855057351407716,-0.16554000000000002
649,1,load,1,0.00020855057351407716,-0.13802999999999999
650,1,alley,1,0.00020855057351407716,0.0
651,1,aunt,2,0.0004171011470281543,0.0
652,1,dotty,2,0.0004171011470281543,0.028730000000000002
655,1,loser,2,0.0004171011470281543,-0.56382
656,1,fearful,4,0.0008342022940563086,-0.56808
659,1,strawberry,1,0.00020855057351407716,0.0
660,1,disgusted,3,0.0006256517205422315,-0.57487
662,1,recollection,2,0.0004171011470281543,0.07443
663,1,blissfully,1,0.00020855057351407716,0.15793
664,1,inevitable,1,0.00020855057351407716,-0.22123
665,1,inevitable,1,0.00020855057351407716,-0.2398
669,1,center,8,0.0016684045881126173,0.0
670,1,center,8,0.0016684045881126173,0.11556
671,1,center,8,0.0016684045881126173,0.11479
673,1,forty,4,0.0008342022940563086,0.0
674,1,forty,4,0.0008342022940563086,0.0
675,1,shortcut,2,0.0004171011470281543,0.24006
676,1,intuition,2,0.0004171011470281543,0.40738
678,1,closer,5,0.0010427528675703858,0.0
679,1,closer,5,0.0010427528675703858,0.0
680,1,tandem,1,0.00020855057351407716,0.0
681,1,tandem,1,0.00020855057351407716,0.0
682,1,falling,4,0.0008342022940563086,-0.0964
683,1,prey,5,0.0010427528675703858,0.0
684,1,prey,5,0.0010427528675703858,-0.34949
685,1,faster,3,0.0006256517205422315,0.0
686,1,polite,4,0.0008342022940563086,0.40310999999999997
687,1,delay,1,0.00020855057351407716,0.0
688,1,delay,1,0.00020855057351407716,-0.38825
689,1,plight,1,0.00020855057351407716,-0.23373000000000002
690,1,plight,1,0.00020855057351407716,0.0
691,1,wellness,1,0.00020855057351407716,0.6933600000000001
693,1,nape,1,0.00020855057351407716,0.0
694,1,negotiate,1,0.00020855057351407716,0.18757000000000001
696,1,limelight,1,0.00020855057351407716,0.0
697,1,ditch,3,0.0006256517205422315,0.0
698,1,ditch,3,0.0006256517205422315,-0.46992
701,1,led,4,0.0008342022940563086,0.0
702,1,demise,1,0.00020855057351407716,-0.47455
703,1,demise,1,0.00020855057351407716,-0.50444
704,1,bewildered,3,0.0006256517205422315,-0.13595
705,1,shimmer,1,0.00020855057351407716,0.52068
706,1,shimmer,1,0.00020855057351407716,0.0
707,1,cruiser,2,0.0004171011470281543,0.0
709,1,glow,1,0.00020855057351407716,0.37475
710,1,glow,1,0.00020855057351407716,0.40268000000000004
712,1,agape,1,0.00020855057351407716,-0.07997
713,1,agape,1,0.00020855057351407716,0.275
714,1,grasp,2,0.0004171011470281543,0.11815
715,1,grasp,2,0.0004171011470281543,0.06851
