"","word","dataset","prop"
"556","longeryour","metoo",1.71629623272977e-05
"557","wifeas","metoo",1.71629623272977e-05
"558","flowi","metoo",1.71629623272977e-05
"559","watched","metoo",0.00022311851025487
"560","2","metoo",0.00169913327040247
"561","growlove","metoo",1.71629623272977e-05
"562","peace","metoo",0.000377585171200549
"563","knowvengeful","metoo",1.71629623272977e-05
"564","words","metoo",0.000377585171200549
"565","sowi","metoo",1.71629623272977e-05
"566","todayas","metoo",1.71629623272977e-05
"567","backon","metoo",1.71629623272977e-05
"568","lovelymonth","metoo",1.71629623272977e-05
"569","maymy","metoo",1.71629623272977e-05
"570","startedin","metoo",1.71629623272977e-05
"571","waybut","metoo",1.71629623272977e-05
"572","uswalked","metoo",1.71629623272977e-05
"573","awayit","metoo",1.71629623272977e-05
"574","rough","metoo",8.58148116364885e-05
"575","startbut","metoo",1.71629623272977e-05
"576","heartthe","metoo",1.71629623272977e-05
"577","knewif","metoo",1.71629623272977e-05
"578","pursued","metoo",3.43259246545954e-05
"579","smaller","metoo",1.71629623272977e-05
"580","familywould","metoo",1.71629623272977e-05
"581","grow","metoo",0.000171629623272977
"582","anew","metoo",1.71629623272977e-05
"583","protecting","metoo",0.000154466660945679
"584","abusers","metoo",0.000291770359564061
"585","silence","metoo",0.000377585171200549
"586","goes","metoo",0.000343259246545954
"587","age","metoo",0.00209388140393032
"588","15","metoo",0.000823822191710289
"589","male","metoo",0.000840985154037587
"590","member","metoo",0.000635029606110015
"591","related","metoo",0.000137303698618382
"592","kiss","metoo",0.000274607397236763
"593","yet","metoo",0.00066935553076461
"594","incredibly","metoo",6.86518493091908e-05
"595","shy","metoo",0.000102977773963786
"596","quiet","metoo",0.000429074058182442
"597","idea","metoo",0.000497725907491633
"598","happening","metoo",0.000480562945164335
"599","luckily","metoo",0.000154466660945679
"600","unable","metoo",8.58148116364885e-05
"601","finish","metoo",5.14888869818931e-05
"602","penetration","metoo",5.14888869818931e-05
"603","felt","metoo",0.00171629623272977
"604","responsible","metoo",0.000102977773963786
"605","guilty","metoo",0.000274607397236763
"606","parents","metoo",0.00113275551360165
"607","encountered","metoo",5.14888869818931e-05
"608","harassment","metoo",0.000909637003346778
"609","almost","metoo",0.00089247404101948
"610","ever","metoo",0.00212820732858491
"611","worked","metoo",0.000772333304728396
"612","theatre","metoo",1.71629623272977e-05
"613","weinstein","metoo",0.000120140736291084
"614","trump","metoo",6.86518493091908e-05
"615","type","metoo",0.000171629623272977
"616","boss","metoo",0.000429074058182442
"617","constantly","metoo",0.000240281472582168
"618","dressing","metoo",6.86518493091908e-05
"619","room","metoo",0.00144168883549301
"620","fitted","metoo",1.71629623272977e-05
"621","bras","metoo",3.43259246545954e-05
"622","various","metoo",8.58148116364885e-05
"623","undergarments","metoo",1.71629623272977e-05
"624","touched","metoo",0.000532051832146228
"625","breast","metoo",0.000137303698618382
"626","join","metoo",0.000326096284218656
"627","girlfriend","metoo",0.000291770359564061
"628","threesome","metoo",3.43259246545954e-05
"629","berated","metoo",1.71629623272977e-05
"630","staff","metoo",8.58148116364885e-05
"631","meeting","metoo",0.000137303698618382
"632","telling","metoo",0.000943962928001373
"633","brain","metoo",0.000154466660945679
"634","paid","metoo",0.000102977773963786
"635","replaced","metoo",1.71629623272977e-05
"636","immediately","metoo",0.000257444434909465
"637","complained","metoo",8.58148116364885e-05
"638","hr","metoo",0.000102977773963786
"639","laughed","metoo",0.000308933321891358
"640","everyone","metoo",0.00157899253411139
"641","funny","metoo",0.000274607397236763
"642","city","metoo",0.000102977773963786
"643","public","metoo",0.000738007380073801
"644","works","metoo",6.86518493091908e-05
"645","department","metoo",0.000102977773963786
"646","female","metoo",0.000635029606110015
"647","living","metoo",0.000635029606110015
"648","hell","metoo",0.000274607397236763
"649","called","metoo",0.00140736291083841
"650","office","metoo",0.000532051832146228
"651","day","metoo",0.00274607397236763
"652","dresses","metoo",3.43259246545954e-05
"653","co","metoo",0.000326096284218656
"654","worker","metoo",0.000205955547927572
"655","spared","metoo",1.71629623272977e-05
"656","request","metoo",8.58148116364885e-05
"657","though","metoo",0.00089247404101948
"658","wore","metoo",0.000137303698618382
"659","stitch","metoo",1.71629623272977e-05
"660","denied","metoo",0.000120140736291084
"661","word","metoo",0.000377585171200549
"662","sue","metoo",3.43259246545954e-05
"663","instead","metoo",0.000291770359564061
"664","quit","metoo",0.000171629623272977
"665","truly","metoo",0.000360422208873252
"666","movement","metoo",0.000326096284218656
"667","bring","metoo",0.000532051832146228
"668","workplace","metoo",0.000102977773963786
"669","inspired","metoo",8.58148116364885e-05
"670","courage","metoo",0.000772333304728396
"671","breaking","metoo",0.000137303698618382
"672","stage","metoo",1.71629623272977e-05
"673","case","metoo",0.000514888869818931
"674","adjourned","metoo",1.71629623272977e-05
"675","stepfather","metoo",8.58148116364885e-05
"676","sacked","metoo",1.71629623272977e-05
"677","lawyer","metoo",0.000154466660945679
"678","detective","metoo",6.86518493091908e-05
"679","rang","metoo",8.58148116364885e-05
"680","apparently","metoo",8.58148116364885e-05
"681","needs","metoo",0.000635029606110015
"682","read","metoo",0.000566377756800824
"683","everything","metoo",0.000772333304728396
"684","nightmare","metoo",0.000308933321891358
"685","abuser","metoo",0.000291770359564061
"686","weeks","metoo",0.000600703681455419
"687","townand","metoo",1.71629623272977e-05
"688","wants","metoo",0.00022311851025487
"689","freaking","metoo",0.000102977773963786
"690","accepted","metoo",0.000154466660945679
"691","university","metoo",0.00022311851025487
"692","study","metoo",5.14888869818931e-05
"693","forensic","metoo",1.71629623272977e-05
"694","science","metoo",1.71629623272977e-05
"695","dramatically","metoo",1.71629623272977e-05
"696","going","metoo",0.00262593323607655
"697","laid","metoo",0.000171629623272977
"698","sexually","metoo",0.00207671844160302
"699","assaulted","metoo",0.00109842958894705
"700","nothing","metoo",0.00132154809920192
"701","academic","metoo",3.43259246545954e-05
